id	text	label
233	"""앤, 큰일 났어!"""	2
234	내 동생이 많이 아파.	2
235	"그런데 지금 우리 엄마 아빠는 외출하고 안 계셔."""	2
236	그 말에 앤이 서둘러 다이애나의 집으로 갔어요.	0
237	앤은 당황한 다이애나를 대신해서 동생을 돌보았습니다.	2
238	집에 돌아온 다이애나의 부모님은 앤을 보고 깜짝 놀랐어요.	0
239	부모님은 다이애나의 말을 듣고 앤에게 고맙다고 했어요.	1
240	"""정말 고맙구나, 앤!"	1
241	지난번에는 내가 심했어.	2
242	"우리 다이애나와 앞으로도 친하게 지내 주겠니?"""	1
243	앤은 기쁜 마음으로 그러겠다고 했지요.	1
244	앤은 집안일도 열심히 했어요.	1
245	매슈와 마릴라는 그런 앤이 사랑스러웠지요.	1
246	"""앤 덕분에 요즘은 하루하루가 재미있구나."	1
247	"너도 그렇지 않니, 마릴라?"""	0
248	"""네! 앤을 데려오기를 잘했다는 생각이 들어요."""	1
249	하루는 앤이 친구들과 호숫가에서 놀고 있었어요.	1
250	"""앤 네가 술래야!"	0
251	"이 수건으로 눈을 가리렴."""	0
252	앤이 눈을 가리고 말했어요.	0
253	"""자 이제 잡는다!"""	0
254	앤은 친구들은 잡으려고 이리저리 바삐 움직였어요.	0
255	그런데 이를 어쩌면 좋아요?	2
256	친구를 잡으려던 앤이 발을 헛디뎌 호수에 빠졌어요.	2
257	"""애들아 살려 줘!"""	2
258	앤이 물속에서 허우적대며 소리쳤어요.	2
259	수영을 못하는 친구들은 당황스러웠지요.	2
260	그때 호수 근처를 지나던 길버트가 이를 보았어요.	0
261	길버트는 앤을 구하기 위해 호수로 뛰어들었지요.	1
262	"""앤 괜찮니?"""	1
263	"""응, 괞찮아!"	1
264	"고마워, 길버트!"""	1
265	앤은 그동안 장난꾸러기로만 보았던 길버트를 다시 생각하게 되었답니다.	1
266	그로부터 얼마 후 학교에서 학예회를 열기로 했어요.	0
267	"""아주머니, 아저씨!"	0
268	며칠 후에 우리 학교에서 학예회가 있을 거에요.	0
269	저는 시 낭송과 연극을 맡았어요.	0
270	"""축하한다, 앤."""	1
271	그날 이후 앤은 학예회 연습을 열심히 했어요.	1
272	멋진 모습으로 매슈 아저씨와 마릴라 아주머니를 기쁘게 해 드리기 위해서였지요.	1
273	드디어 학예회가 열리는 날이었습니다.	0
274	많은 사람들이 학예회를 보려고 학교에 왔어요.	0
275	앤은 수많은 사람들을 보자 가슴이 두근거렸지요.	1
276	앤의 시 낭송이 시작되었어요.	1
277	시를 낭송하는 앤의 모습은 무척 아름다웠답니다.	1
278	시 낭송이 끝나자 사람들은 앤에게 힘찬 박수를 보냈어요.	1
279	"""앤, 너무 잘했다."	1
280	"정말 훌륭하구나!"""	1
281	"""아주머니 덕분이에요."	1
282	"왜 매슈 아저씨는 안 보이죠?"""	2
283	"""응, 갑자기 급한 볼일이 있어서 오지 못하셨단다!"	2
284	"매슈 아저씨도 계셨으면 좋았을걸!"""	2
285	앤은 아저씨가 오지 못한 것이 무척 아쉬웠어요.	2
286	그때 길버트가 다가와 축하의 말을 건넸어요.	1
287	"""앤, 네 시 낭송은 정말 멋있었어!"""	1
288	"""고마워, 길버트!"""	1
289	이제 앤은 길버트를 못된 말썽꾸러기로 생각하지 않았어요.	1
290	그 후 매슈와 마릴라는 앤을 퀸즈 전문학교에 보내기로 했어요.	1
291	그곳은 선생님이 되려는 학생들이 가는 학교였지요.	1
292	그때 마침 뮤리엘 선생님이 그 학교에 가고 싶어 하는 학생들을 따로 공부시키고 있었어요.	1
293	하루는 마릴라가 앤을 불러 말했지요.	0
294	"""앤, 우리는 네가 선생님이 되었으면 하는데 어떠니?"""	0
295	"""좋아요! "	1
296	"저도 선생님이 되고 싶었어요."""	1
297	"""그럼, 내일부터 뮤리엘 선생님과 공부를 하도록 해라."""	0
298	앤은 예전보다 더 열심히 공부를 했어요.	1
299	퀸즈 전문학교의 입학시험 발표날이었어요.	0
300	앤이 퀸즈 전문학교에 들어섰을 때였지요.	0
301	"""축하해, 앤!"""	1
302	길버트가 앤에게 다가와 악수를 하며 말했어요.	1
303	앤은 무슨 일인지 몰라 어리둥절했습니다.	0
304	"""너와 내가 일등으로 합격을 했어."""	1
305	"""정말이니, 길버트?"""	0
306	앤은 너무 기뻐 길버트를 껴안았어요.	1
307	어느덧 앤이 퀸즈 전문학교에 입학한 지 1년이 되었어요.	0
308	앤은 그동안 교사가 될 수 있는 자격증을 땄어요.	1
309	그리고 레이몬드 대학교에 가는 장학금도 받았지요.	1
310	그즈음 마릴라 아주머니에게 연락이 왔어요.	0
311	매슈 아저씨가 쓰러졌다는 것이었습니다.	2
312	앤은 곧장 집으로 달려갔어요.	0
313	그러나 얼마 후 매슈 아저씨는 하늘나라로 가고 말았지요.	2
314	매슈 아저씨가 돌아가시자 앤은 마릴라 아주머니를 평생 돌보기로 다짐했어요.	1
315	그래서 레이몬드 대학교의 입학을 포기하였지요.	2
316	한편 길버트는 고향에서 아이들을 가르치기로 되어 있었어요.	1
317	하지만 길버트는 자기 대신 앤을 그 학교 선생님으로 추천했지요.	1
318	길버트의 도움으로 앤은 고향에서 아이들을 가르치며 마릴라 아주머니와 행복하게 살았답니다.	1
319	풀밭의 작은 연못 근처에서 여러 마리의 말들이 뛰어놀고 있었어요.	1
320	그 중 다키라는 망아지는 까만 털을 가지고 있었지요.	0
321	"""다키야, 항상 점잖고 예의 바르게 행동해야 한다!"""	1
322	다키의 어머니는 늘 다키에게 이런 말을 했지요.	0
323	그곳에 있는 여러 마리의 말들 모두 다키의 어머니와 다키를 아주 좋아했답니다.	1
324	어느 날이었어요.	0
325	갑자기 개들이 요란스럽게 짖어대더니 말발굽 소리가 들렸어요.	2
326	무엇을 쫓아 달리는 개들의 뒤를 이어 말을 탄 사람들이 달려오고 있었지요.	2
327	"""토끼를 쫓는 모양인가 봐!"""	0
328	그런데 달리던 말 한 마리가 돌부리에 걸려 넘어졌어요.	2
329	그 말을 타고 있던 젊은이도 말등에서 떨어졌지요.	2
330	떨어진 젊은이는 그 자리에서 죽고 말았어요.	2
331	말 역시 상처가 너무 심해 그 자리에서 죽었어요.	2
332	토끼를 잡으려던 욕심이 너무 컸던 것이지요.	2
333	"""토끼 한 마리 때문에 이런 끔찍한 일이 일어나다니!"""	2
334	다키는 사람과 말의 죽음에 가슴이 아팠어요.	2
335	그리고 다키는 죽은 말을 보며 결심했어요.	2
336	작은 동물을 잡기 위해 목숨을 바치는 일은 절대 하지 않겠다고 말이지요.	2
337	나는 건강하고 멋진 말이 될 테야!'	1
338	다키는 스스로에게 이렇게 다짐도 했어요.	1
339	시간이 흘러 다키는 정말 훌륭하고 멋진 말이 되었습니다.	1
340	"한쪽 다리는 하얗고, 이마에는 흰 점이 생겼지요."	0
341	다키의 주인은 그런 다키를 매일 훈련시키며 단단하게 길들였습니다.	1
342	"다키의 몸무게를 늘리고, 멋지게 털도 깎아 주었지요."	1
343	이 모든 것이 다키를 비싼 값에 팔기 위해서였어요.	0
344	얼마 후 다키는 고딘이라는 부자에게 팔렸어요.	1
345	고딘은 다키의 탐스럽고 멋진 털을 마음에 들어했지요.	1
346	고딘의 집에서 일하는 존이 다키를 마구간으로 데려갔어요.	0
347	마구간에는 여러 마리의 말이 있었답니다.	0
348	"""만나서 반가워."	1
349	"난 다키라고 해!"""	0
350	다키가 마구간에 있는 회색 조랑말에게 인사를 했어요.	1
351	"""나도 반가워!"""	1
352	회색 조랑말도 다키를 반갑게 맞아 주었어요.	1
353	다음날 마부는 다키를 타고 달려 보았지요.	0
354	"""존, 새로 산 말이 잘 달리던가?"""	1
355	마침 산책 나온 고딘이 존에게 물었어요.	0
356	고딘은 자신이 고른 말이 정말 좋은 말인지 확인하고 싶었지요.	1
357	또한 얼마 후에 있을 시합에서 좋은 성적도 내고 싶었어요.	1
358	"""사슴처럼 아주 날쌔게 잘 달리던데요."	1
359	"아주 좋아요!"""	1
360	존이 고딘에게 말했어요.	0
361	"""오호, 역시 내가 잘 보았군!"""	1
362	그러자 뒤따라 나온 고딘의 부인이 끼어들었어요.	0
363	"""여보, 이 말의 이름이 뭐에요?"""	0
364	"""오호, 그러고 보니 이름이 없었군! "	2
365	"뭐라고 지을까?"""	0
366	"""여보, 제가 보기에 이렇게 멋진 말은 흔하지 않아요."	1
367	"게다가 빛깔도 검은색이니 블랙 뷰티라고 부르는게 어떨까요?"""	1
368	"""오호~,블랙 뷰티! 그것 참 맘에 드는 이름이군!"""	1
369	고딘이 흡족해하며 말했어요.	1
370	그렇게 해서 다키는 블랙 뷰티라고 불리게 되었답니다.	0
371	하루는 고딘이 블랙 뷰티가 끄는 마차를 타고 먼 곳에 사는 친구를 만나러 갔어요.	1
372	한참 후 고딘의 친구 집에 도착한 블랙 뷰티는 그 집의 마구간에서 쉬게 되었지요.	1
373	블랙 뷰티의 몸은 많이 지쳐 있었어요.	2
374	그리고 먼 길을 달려온 탓인지 금세 잠이 들었지요.	0
375	얼마나 지났을까요?	0
376	잠이 들었던 블랙 뷰티가 숨이 막혀 눈을 떠 보니 마구간 안이 연기로 가득 차 있었어요.	2
377	그때 고딘이 달려와 블랙 뷰티를 불렀어요.	0
378	"""블랙 뷰티, 어서 밖으로 나와라, 어서!"""	0
379	블랙 뷰티는 그 집의 마부에게 이끌려 겨우 밖으로 끌려 나왔지요.	2
380	어느 날 밤 건강하던 고딘의 부인이 갑자기 아팠습니다.	2
381	몸에 열이 펄펄 나 위험한 상황이었지요.	2
382	"""존, 어서 일어나 봐! 큰일 났어!"""	2
383	존은 고딘의 부인이 위급하다는 말에 블랙 뷰티를 타고 의사를 데리러 먼 길을 달렸습니다.	2
384	블랙 뷰티는 여느 때보다 빠르게 달렸지요.	0
385	얼마 지나지 않아 존이 의사를 데리고 왔어요.	1
386	다행히 의사가 일찍 도착하여 고딘의 부인은 목숨을 구할 수 있었어요.	1
387	"""네가 아주머니의 목숨을 구했구나!"""	1
388	고딘은 블랙 뷰티를 쓰다듬어 주었어요.	1
389	그 뒤 나이 어린 조가 블랙 뷰티를 돌보게 되었어요.	1
390	하지만 조가 블랙 뷰티를 잘 돌보지 않아 심하게 앓았어요.	2
391	그래서 고딘이 다시 정성스럽게 보살폈답니다.	1
392	그로부터 며칠 후 고딘이 이사를 가게 되었어요.	0
393	그런데 이사를 가는 곳은 말을 기를 수 없는 곳이었지요.	2
394	고민을 하던 고딘은 할 수 없이 블랙 뷰티와 진저라는 말을 친구에게 팔았습니다.	2
395	"""고삐를 바짝 당겨서 매려고 하는데 왜 말을 안 들어?"""	2
396	하루는 새 주인이 화를 내며 말했어요.	2
397	진저는 주인의 말에 기분이 나빠 마구 날뛰었지요.	2
398	"""으윽, 더는 못 참겠다!"""	2
399	진저의 모습을 보면서 블랙 뷰티는 자신을 아껴주던 고딘과 마부 존이 그리웠지요.	1
400	그러던 어느 날 블랙 뷰티는 그 집의 마부를 따라 도시에 나가게 되었어요.	0
401	볼일을 보고 난 후 마부는 술집으로 향했지요.	0
402	"""일도 빨리 끝냈으니 술이나 한잔하고 가야겠다."""	0
403	그리고 술에 취한 채 블랙 뷰티를 끌고 집으로 향했어요.	2
404	집으로 가는 길에는 거친 돌들이 깔려 있었답니다.	2
405	마부가 서두르는 바람에 블랙 뷰티가 돌에 걸려 넘어지고 말았어요.	2
406	블랙 뷰티의 등에 타고 있던 마부는 그만 떨어져 죽고 말았지요.	2
407	블랙 뷰티는 몹시 괴로웠습니다.	2
408	"""이런, 말굽을 심하게 다쳤네!"	2
409	"거친 돌길을 달려왔으니 그럴 수밖에!"""	2
410	사람들은 마부의 죽음을 블랙 뷰티의 잘못이라고 생각하지 않았어요.	1
411	블랙 뷰티는 말굽이 나을 때까지 쉬게 되었어요.	1
412	덕분에 마구간에서 편히 지내면서 자신의 어린 시절을 떠올릴 수 있었답니다.	1
413	"태어났을 때와 이름을 얻었던 순간, 그리고 고딘이 생각났어요."	0
414	모두들 나를 기억할까?'	0
415	블랙 뷰티는 생각에 잠겼어요.	0
416	건강을 되찾아 벌판을 뛰어다닐 즈음 블랙 뷰티는 마차꾼에게 다시 팔렸습니다.	1
417	다행히 새 주인은 블랙 뷰티를 많이 아껴 주었어요.	1
418	하지만 블랙 뷰티는 진저가 그리웠어요.	1
419	그 마음이 전해졌는지 며칠 후 진저를 만났지요.	2
420	진저는 블랙 뷰티와 함께 지낼 때보다 몹시 힘들어하고 지친 모습이었어요.	2
421	"""주인이 나를 너무 심하게 대해."	2
422	"차라리 죽었으면 좋겠어!"""	2
